qdate,hl_ssm,tenor_bucket
2011-10-20,15.632228371729573,2
2011-10-21,13.610037028527886,2
2011-10-24,12.214359288508414,2
2011-10-25,11.095147626340411,2
2011-10-26,9.571477860682752,2
2011-10-27,11.564129532194704,2
2011-10-28,14.72683329778931,2
2011-10-31,15.153823160791193,2
2011-11-01,14.687520159463215,2
2011-11-02,15.050037980666728,2
2011-11-03,16.416585216365853,2
2011-11-04,16.946970145449153,2
2011-11-07,17.455403587289805,2
2011-11-08,17.686943466267465,2
2011-11-09,17.60725585612583,2
2011-11-10,17.012510694452175,2
2011-11-14,16.534341703953984,2
2011-11-15,15.797236901015546,2
2011-11-16,15.91614675967071,2
2011-11-17,15.978522713786283,2
2011-11-18,16.261044706203847,2
2011-11-21,16.00477149862365,2
2011-11-22,16.148445204084936,2
2011-11-23,16.305206842428444,2
2011-11-25,16.276974951597392,2
2011-11-28,16.145806884846365,2
2011-11-29,15.941388588651938,2
2011-11-30,16.47505168958717,2
2011-12-01,16.733597876817615,2
2011-12-02,16.896035044903925,2
2011-12-05,17.153898697157754,2
2011-12-06,17.567564566028917,2
2011-12-07,19.446312565083055,2
2011-12-08,21.976887734719725,2
2011-12-09,25.76661682860274,2
2011-12-12,24.849863856278397,2
2011-12-13,21.805161908909398,2
2011-12-14,16.934936891307263,2
2011-12-15,16.035443391740582,2
2011-12-16,16.57694438634806,2
2011-12-19,16.91858276819836,2
2011-12-20,17.605224422584946,2
2011-12-21,17.662258468502433,2
2011-12-22,17.881613792723094,2
2011-12-23,17.548588880030035,2
2011-12-27,18.228005589633625,2
2011-12-28,16.621245236734346,2
2011-12-29,15.981513255305645,2
2011-12-30,15.326989539990649,2
2012-01-03,16.833709158414575,2
2012-01-04,16.12913528802277,2
2012-01-05,16.23753084707808,2
2012-01-06,16.449569361928592,2
2012-01-09,16.34615317091747,2
2012-01-10,16.268581335656453,2
2012-01-11,16.551539382683718,2
2012-01-12,16.493724042044587,2
2012-01-13,16.400521715021956,2
2012-01-17,16.53770432639135,2
2012-01-18,16.75124742699798,2
2012-01-19,16.945144733441687,2
2012-01-20,17.412619481576478,2
2012-01-23,17.76430518548275,2
2012-01-24,17.98567549976748,2
2012-01-25,18.348790368243854,2
2012-01-26,17.66644515666873,2
2012-01-27,17.197778292212565,2
2012-01-30,17.23229513912412,2
2012-01-31,16.49830496676019,2
2012-02-01,15.893929171714202,2
