date,tenor,arb,arb_w,m,m_w
2017-08-02,2,37.643181899540394,37.643181899540394,3.041826986431012,3.041826990960601
2017-08-03,2,37.374192318453396,37.374192318453396,2.5087576524541078,2.508757656552305
2017-08-04,2,37.738375498359574,37.738375498359574,2.5993274197545446,2.5993274234624337
2017-08-07,2,36.88865749190251,36.88865749190251,1.5829799453643858,1.5829799487191423
2017-08-08,2,35.794880682160624,35.794880682160624,0.44261236080131283,0.44261236383656666
2017-08-09,2,35.11560952871753,35.11560952871753,-0.21411986000923378,-0.21411985726305005
2017-08-10,2,35.27379467503701,35.27379467503701,-0.05060759810024962,-0.05060759561560957
2017-08-11,2,34.70742343560042,34.70742343560042,-0.5582189482476139,-0.558218945999613
2017-08-14,2,34.67769461345193,34.67769461345193,-0.5319527446440873,-0.5319527426101871
2017-08-15,2,37.45951745066645,37.45951745066645,2.035596750420865,2.035596752261064
2017-08-16,2,36.441125871951016,36.441125871951016,0.9203284886858611,0.9203284903508049
2017-08-17,2,35.73796029712639,35.73796029712639,0.19648073158873558,0.1964807330951146
2017-08-18,2,34.82733198039156,34.82733198039156,-0.6461335294178951,-0.6461335280549818
2017-08-21,2,35.816201675258355,35.816201675258355,0.3100946258823356,0.310094627115447
2017-08-22,2,35.89995643605846,35.89995643605846,0.3563399212841176,0.3563399223997905
2017-08-23,2,34.17683349517196,34.17683349517196,-1.2366132082116792,-1.2366132072022609
2017-08-24,2,36.635639128741445,36.635639128741445,1.1057931467522977,1.1057931476655867
2017-08-25,2,34.82581047410838,34.82581047410838,-0.6369845071302151,-0.6369845063039037
2017-08-28,2,34.310174439335924,34.310174439335924,-1.04284715695956,-1.0428471562119412
2017-08-29,2,35.49678442190674,35.49678442190674,0.1300711279339879,0.13007112861041037
2017-08-30,2,36.917835864203056,36.917835864203056,1.4033966111607512,1.4033966117727559
2017-08-31,2,35.182019821073936,35.182019821073936,-0.3007604384475684,-0.30076043789385665
2017-09-01,2,34.78731155875715,34.78731155875715,-0.6292335864058458,-0.6292335859048706
2017-09-05,2,33.56854913427077,33.56854913427077,-1.6719963908072586,-1.6719963903539963
2017-09-06,2,35.177858527335445,35.177858527335445,-0.056716807481379306,-0.056716807071289566
2017-09-07,2,33.42908317659709,33.42908317659709,-1.633540524103573,-1.6335405237325347
2017-09-08,2,32.495341188074605,32.495341188074605,-2.322779416185483,-2.32277941584978
2017-09-11,2,34.32174057486523,34.32174057486523,-0.44910574088105903,-0.44910574057733044
2017-09-12,2,35.09008363953737,35.09008363953737,0.28883376914431125,0.28883376941911365
2017-09-13,2,35.05590270389769,35.05590270389769,0.230400182694666,0.230400182943292
2017-09-14,2,36.18724003533467,36.18724003533467,1.2320482270714948,1.2320482272964384
2017-09-15,2,35.163960262378765,35.163960262378765,0.18888574419982262,0.18888574440334338
2017-09-18,2,35.55445812225997,35.55445812225997,0.5242042132161728,0.52420421340031
2017-09-19,2,35.63484540898719,35.63484540898719,0.547011357091634,0.5470113572582349
2017-09-20,2,36.672930913015364,36.672930913015364,1.4341352552988695,1.434135255449604
2017-09-21,2,36.73769906405556,36.73769906405556,1.3561507009734441,1.3561507011098186
2017-09-22,2,36.641882057413255,36.641882057413255,1.1403019139186483,1.140301914042034
2017-09-25,2,34.91320898279193,34.91320898279193,-0.532335812064332,-0.5323358119526986
2017-09-26,2,35.0562251929687,35.0562251929687,-0.35224154456494006,-0.3522415444639364
2017-09-27,2,34.29264432120772,34.29264432120772,-1.0095536147710718,-1.0095536146796888
2017-09-28,2,33.90874866527227,33.90874866527227,-1.2607398163535208,-1.260739816270835
2017-09-29,2,34.75327121558402,34.75327121558402,-0.37657752641874254,-0.3765775263439295
2017-10-02,2,34.758349589185684,34.758349589185684,-0.33611828112021414,-0.33611828105252783
2017-10-03,2,32.38707595122125,32.38707595122125,-2.4495450696480177,-2.449545069586776
2017-10-04,2,32.35431000224719,32.35431000224719,-2.245900445419977,-2.245900445364562
2017-10-05,2,32.27541422284429,32.27541422284429,-2.1033870605540343,-2.1033870605038913
2017-10-06,2,33.08023224082524,33.08023224082524,-1.174895800423272,-1.1748958003779038
2017-10-10,2,32.76042666184421,32.76042666184421,-1.3523488670800816,-1.3523488670390336
2017-10-11,2,32.42692691293624,32.42692691293624,-1.5252916049415646,-1.5252916049044316
2017-10-12,2,31.220109413467867,31.220109413467867,-2.4719082373232766,-2.471908237289682
2017-10-13,2,30.25820320529118,30.25820320529118,-3.106784498309487,-3.1067844982790973
2017-10-16,2,32.41696728854882,32.41696728854882,-0.8577327564754853,-0.8577327564479873
2017-10-17,2,33.517897904329345,33.517897904329345,0.22003615841884283,0.22003615844372604
2017-10-18,2,33.132652303540226,33.132652303540226,-0.14947520976357964,-0.14947520974106965
2017-10-19,2,31.89606122840914,31.89606122840914,-1.254059972047557,-1.2540599720271928
2017-10-20,2,32.56339176743282,32.56339176743282,-0.5308504394025562,-0.5308504393841318
2017-10-23,2,34.16821018406458,34.16821018406458,0.9716853127311822,0.9716853127478515
2017-10-24,2,34.38756276632924,34.38756276632924,1.0776057145200468,1.0776057145351317
2017-10-25,2,34.908314730472966,34.908314730472966,1.4461331378386504,1.4461331378523
2017-10-26,2,34.02834381870392,34.02834381870392,0.51224201406297,0.5122420140753192
2017-10-27,2,34.88646933240912,34.88646933240912,1.239856334647392,1.239856334658569
2017-10-30,2,33.02498333054069,33.02498333054069,-0.562426841771412,-0.562426841761301
2017-10-31,2,31.60421398254121,31.60421398254121,-1.7943203621736643,-1.7943203621645125
2017-11-01,2,30.96107207244623,30.96107207244623,-2.205323008243063,-2.205323008234778
2017-11-02,2,30.20170688094126,30.20170688094126,-2.6823369426291706,-2.6823369426216743
2017-11-03,2,30.94226832852209,30.94226832852209,-1.7568444955199283,-1.7568444955131426
2017-11-06,2,29.206884996180207,29.206884996180207,-3.1596347013987796,-3.1596347013926405
2017-11-07,2,26.961989259892675,26.961989259892675,-4.889813253144759,-4.889813253139206
2017-11-08,2,28.398295305431787,28.398295305431787,-3.1246017592622515,-3.124601759257228
2017-11-09,2,27.68697438041201,27.68697438041201,-3.470596714350407,-3.470596714345863
2017-11-10,2,29.19403825859314,29.19403825859314,-1.77652970891506,-1.7765297089109495
2017-11-13,2,26.604563529253312,26.604563529253312,-3.9501944917544236,-3.950194491750704
2017-11-14,2,25.71678137650136,25.71678137650136,-4.377216964077196,-4.377216964073831
2017-11-15,2,25.9122362149933,25.9122362149933,-3.7834990660057066,-3.783499066002662
2017-11-16,2,25.15415482290618,25.15415482290618,-4.109048985893509,-4.109048985890755
2017-11-17,2,26.400169278517637,26.400169278517637,-2.5903645750170945,-2.5903645750146005
2017-11-20,2,28.978124216332276,28.978124216332276,-0.011227766992696786,-0.011227766990440813
2017-11-21,2,28.196776262610086,28.196776262610086,-0.7170923187420399,-0.7170923187400007
2017-11-22,2,28.48010302447966,28.48010302447966,-0.3924545514560407,-0.39245455145419683
2017-11-24,2,26.11945099141755,26.11945099141755,-2.490905957421184,-2.490905957419514
2017-11-27,2,28.361155919796033,28.361155919796033,-0.22546759770530045,-0.22546759770379055
2017-11-28,2,30.039262311982725,30.039262311982725,1.3142922426260206,1.3142922426273884
2017-11-29,2,31.381693935601533,31.381693935601533,2.4037025456500807,2.4037025456513206
2017-11-30,2,33.37644009037575,33.37644009037575,3.979548824193415,3.979548824194538
2017-12-01,2,30.465469356109054,30.465469356109054,0.9668087480289351,0.9668087480299512
2017-12-04,2,32.0333080325197,32.0333080325197,2.2932524316358105,2.293252431636727
2017-12-05,2,27.488158124835394,27.488158124835394,-2.037431049758162,-2.0374310497573305
2017-12-06,2,28.34069870018442,28.34069870018442,-1.0720437625606465,-1.0720437625598933
2017-12-07,2,28.109399698947897,28.109399698947897,-1.179214881530772,-1.1792148815300898
2017-12-08,2,29.631178140290245,29.631178140290245,0.30993845887714144,0.3099384588777596
2017-12-11,2,27.373050431152024,27.373050431152024,-1.7626474169028796,-1.7626474169023254
2017-12-12,2,27.628350179154097,27.628350179154097,-1.363790748053109,-1.3637907480526081
2017-12-13,2,25.60021847672013,25.60021847672013,-3.0688822171073546,-3.0688822171069
2017-12-14,2,23.956527915420793,23.956527915420793,-4.26375632332034,-4.263756323319928
2017-12-15,2,22.93962748320942,22.93962748320942,-4.777737064528694,-4.777737064528321
2017-12-18,2,23.452510037680327,23.452510037680327,-3.8586778900522845,-3.858677890051947
